iter	Passed	Remaining
830	2398	487
831	2401	484
832	2403	481
833	2406	478
834	2408	475
835	2411	473
836	2414	470
837	2416	467
838	2419	464
839	2421	461
840	2424	458
841	2427	455
842	2430	452
843	2432	449
844	2435	446
845	2437	443
846	2440	440
847	2444	438
848	2448	435
849	2451	432
850	2454	429
851	2457	426
852	2461	424
853	2465	421
854	2467	418
855	2470	415
856	2473	412
857	2476	409
858	2479	407
859	2482	404
860	2485	401
861	2488	398
862	2490	395
863	2493	392
864	2496	389
865	2499	386
866	2502	383
867	2505	380
868	2508	378
869	2511	375
870	2513	372
871	2516	369
872	2519	366
873	2521	363
874	2524	360
875	2527	357
876	2530	354
877	2532	351
878	2535	349
879	2537	346
880	2540	343
881	2543	340
882	2546	337
883	2549	334
884	2552	331
885	2555	328
886	2558	325
887	2561	323
888	2563	320
889	2566	317
890	2568	314
891	2571	311
892	2574	308
893	2577	305
894	2579	302
895	2581	299
896	2584	296
897	2586	293
898	2590	291
899	2593	288
900	2596	285
901	2598	282
902	2601	279
903	2603	276
904	2607	273
905	2610	270
906	2613	267
907	2615	265
908	2618	262
909	2623	259
910	2627	256
911	2630	253
912	2633	250
913	2636	248
914	2639	245
915	2643	242
916	2646	239
917	2649	236
918	2651	233
919	2655	230
920	2658	228
921	2662	225
922	2665	222
923	2668	219
924	2671	216
925	2675	213
926	2677	210
927	2680	207
928	2683	205
929	2685	202
930	2689	199
931	2692	196
932	2695	193
933	2698	190
934	2701	187
935	2704	184
936	2707	182
937	2710	179
938	2713	176
939	2716	173
940	2719	170
941	2722	167
942	2725	164
943	2729	161
944	2731	159
945	2734	156
946	2737	153
947	2741	150
948	2745	147
949	2748	144
950	2751	141
951	2754	138
952	2757	135
953	2759	133
954	2762	130
955	2765	127
956	2767	124
957	2770	121
958	2773	118
959	2776	115
960	2778	112
961	2781	109
962	2783	106
963	2788	104
964	2791	101
965	2793	98
966	2796	95
967	2798	92
968	2800	89
969	2803	86
970	2805	83
971	2808	80
972	2810	77
973	2812	75
974	2815	72
975	2817	69
976	2820	66
977	2822	63
978	2825	60
979	2827	57
980	2830	54
981	2832	51
982	2835	49
983	2838	46
984	2841	43
985	2843	40
986	2846	37
987	2849	34
988	2851	31
989	2854	28
990	2856	25
991	2858	23
992	2861	20
993	2863	17
994	2865	14
995	2867	11
996	2870	8
997	2872	5
998	2875	2
999	2877	0
